state,date,cases,daily cases,deaths,daily deaths,daily cases moving average,daily deaths moving average
MG,2020-02-25,0,0,0,0,,
MG,2020-02-26,0,0,0,0,,
MG,2020-02-27,0,0,0,0,,
MG,2020-02-28,0,0,0,0,,
MG,2020-02-29,0,0,0,0,,
MG,2020-03-01,0,0,0,0,,
MG,2020-03-02,0,0,0,0,,
MG,2020-03-03,0,0,0,0,,
MG,2020-03-04,0,0,0,0,,
MG,2020-03-05,0,0,0,0,,
MG,2020-03-06,0,0,0,0,,
MG,2020-03-07,0,0,0,0,,
MG,2020-03-08,0,0,0,0,,
MG,2020-03-09,0,0,0,0,0.0,0.0
MG,2020-03-10,0,0,0,0,0.0,0.0
MG,2020-03-11,0,0,0,0,0.0,0.0
MG,2020-03-12,0,0,0,0,0.0,0.0
MG,2020-03-13,1,0,0,0,0.0,0.0
MG,2020-03-14,1,0,0,0,0.0,0.0
MG,2020-03-15,1,0,0,0,0.0,0.0
MG,2020-03-16,2,1,0,0,0.07142857142857142,0.0
MG,2020-03-17,3,1,0,0,0.14285714285714285,0.0
MG,2020-03-18,7,4,0,0,0.42857142857142855,0.0
MG,2020-03-19,14,7,0,0,0.9285714285714286,0.0
MG,2020-03-20,17,3,0,0,1.1428571428571428,0.0
MG,2020-03-21,19,1,0,0,1.2142857142857142,0.0
MG,2020-03-22,41,22,0,0,2.7857142857142856,0.0
MG,2020-03-23,64,22,0,0,4.357142857142857,0.0
MG,2020-03-24,65,1,0,0,4.428571428571429,0.0
MG,2020-03-25,66,1,0,0,4.5,0.0
MG,2020-03-26,76,10,0,0,5.214285714285714,0.0
MG,2020-03-27,94,18,0,0,6.5,0.0
MG,2020-03-28,205,110,0,0,14.357142857142858,0.0
MG,2020-03-29,231,26,0,0,16.214285714285715,0.0
MG,2020-03-30,261,30,1,1,18.285714285714285,0.07142857142857142
MG,2020-03-31,275,14,2,1,19.214285714285715,0.14285714285714285
MG,2020-04-01,314,39,3,1,21.714285714285715,0.21428571428571427
MG,2020-04-02,370,56,4,1,25.214285714285715,0.2857142857142857
MG,2020-04-03,397,27,6,2,26.928571428571427,0.42857142857142855
MG,2020-04-04,430,33,6,0,29.214285714285715,0.42857142857142855
MG,2020-04-05,498,68,6,0,32.5,0.42857142857142855
MG,2020-04-06,525,27,9,3,32.857142857142854,0.6428571428571429
MG,2020-04-07,559,34,11,2,35.214285714285715,0.7857142857142857
MG,2020-04-08,614,55,14,3,39.07142857142857,1.0
MG,2020-04-09,655,41,15,1,41.285714285714285,1.0714285714285714
MG,2020-04-10,698,43,17,2,43.07142857142857,1.2142857142857142
MG,2020-04-11,750,52,17,0,38.92857142857143,1.2142857142857142
MG,2020-04-12,806,56,20,3,41.07142857142857,1.4285714285714286
MG,2020-04-13,815,9,23,3,39.57142857142857,1.5714285714285714
MG,2020-04-14,884,69,27,4,43.5,1.7857142857142858
MG,2020-04-15,903,19,30,3,42.07142857142857,1.9285714285714286
MG,2020-04-16,958,55,33,3,42.0,2.0714285714285716
MG,2020-04-17,1021,63,35,2,44.57142857142857,2.0714285714285716
MG,2020-04-18,1077,56,39,4,46.214285714285715,2.357142857142857
MG,2020-04-19,1154,77,39,0,46.857142857142854,2.357142857142857
MG,2020-04-20,1189,35,41,2,47.42857142857143,2.2857142857142856
MG,2020-04-21,1230,41,44,3,47.92857142857143,2.357142857142857
MG,2020-04-22,1283,53,47,3,47.785714285714285,2.357142857142857
MG,2020-04-23,1308,25,51,4,46.642857142857146,2.5714285714285716
MG,2020-04-24,1419,111,54,3,51.5,2.642857142857143
MG,2020-04-25,1481,62,58,4,52.214285714285715,2.9285714285714284
MG,2020-04-26,1548,67,61,3,53.0,2.9285714285714284
MG,2020-04-27,1586,38,62,1,55.07142857142857,2.7857142857142856
MG,2020-04-28,1649,63,71,9,54.642857142857146,3.142857142857143
MG,2020-04-29,1758,109,80,9,61.07142857142857,3.5714285714285716
MG,2020-04-30,1827,69,82,2,62.07142857142857,3.5
MG,2020-05-01,1935,108,88,6,65.28571428571429,3.7857142857142856
