estado,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving average,daily_deaths_moving average,sum_of_daily_cases_week,sum_of_daily_deaths_week
SC,2020-02-25,0,0,0,0,2966.4285714285716,102.42857142857143,20765.0,717.0
SC,2020-02-26,0,0,0,0,2275.285714285714,83.14285714285714,15927.0,582.0
SC,2020-02-27,0,0,0,0,2188.8571428571427,80.0,15322.0,560.0
SC,2020-02-28,0,0,0,0,2132.5714285714284,71.85714285714286,14928.0,503.0
SC,2020-02-29,0,0,0,0,1320.4285714285713,35.857142857142854,9243.0,251.0
SC,2020-03-01,0,0,0,0,466.14285714285717,17.714285714285715,3263.0,124.0
SC,2020-03-02,0,0,0,0,0.0,0.0,0.0,0.0
SC,2020-03-03,0,0,0,0,0.0,0.0,0.0,0.0
SC,2020-03-04,0,0,0,0,0.0,0.0,0.0,0.0
SC,2020-03-05,0,0,0,0,0.0,0.0,0.0,0.0
SC,2020-03-06,0,0,0,0,0.0,0.0,0.0,0.0
SC,2020-03-07,0,0,0,0,0.0,0.0,0.0,0.0
SC,2020-03-08,0,0,0,0,0.0,0.0,0.0,0.0
SC,2020-03-09,0,0,0,0,0.0,0.0,0.0,0.0
SC,2020-03-10,0,0,0,0,0.0,0.0,0.0,0.0
SC,2020-03-11,0,0,0,0,0.0,0.0,0.0,0.0
SC,2020-03-12,0,0,0,0,0.0,0.0,0.0,0.0
SC,2020-03-13,1,1,0,0,0.14285714285714285,0.0,1.0,0.0
SC,2020-03-14,2,1,0,0,0.2857142857142857,0.0,2.0,0.0
SC,2020-03-15,3,1,0,0,0.42857142857142855,0.0,3.0,0.0
SC,2020-03-16,3,0,0,0,0.42857142857142855,0.0,3.0,0.0
SC,2020-03-17,3,0,0,0,0.42857142857142855,0.0,3.0,0.0
SC,2020-03-18,5,1,0,0,0.5714285714285714,0.0,4.0,0.0
SC,2020-03-19,10,5,0,0,1.2857142857142858,0.0,9.0,0.0
SC,2020-03-20,10,0,0,0,1.1428571428571428,0.0,8.0,0.0
SC,2020-03-21,25,15,0,0,3.142857142857143,0.0,22.0,0.0
SC,2020-03-22,28,3,0,0,3.4285714285714284,0.0,24.0,0.0
SC,2020-03-23,34,5,0,0,4.142857142857143,0.0,29.0,0.0
SC,2020-03-24,53,19,0,0,6.857142857142857,0.0,48.0,0.0
SC,2020-03-25,54,1,0,0,6.857142857142857,0.0,48.0,0.0
SC,2020-03-26,61,6,0,0,7.0,0.0,49.0,0.0
SC,2020-03-27,74,13,0,0,8.857142857142858,0.0,62.0,0.0
SC,2020-03-28,184,109,1,0,22.285714285714285,0.0,156.0,0.0
SC,2020-03-29,194,10,1,0,23.285714285714285,0.0,163.0,0.0
SC,2020-03-30,197,3,1,0,23.0,0.0,161.0,0.0
SC,2020-03-31,225,28,2,1,24.285714285714285,0.14285714285714285,170.0,1.0
SC,2020-04-01,235,10,2,0,25.571428571428573,0.14285714285714285,179.0,1.0
SC,2020-04-02,247,12,2,0,26.428571428571427,0.14285714285714285,185.0,1.0
SC,2020-04-03,281,34,5,3,29.428571428571427,0.5714285714285714,206.0,4.0
SC,2020-04-04,334,53,5,0,21.428571428571427,0.5714285714285714,150.0,4.0
SC,2020-04-05,357,23,10,5,23.285714285714285,1.2857142857142858,163.0,9.0
SC,2020-04-06,379,22,10,0,26.0,1.2857142857142858,182.0,9.0
SC,2020-04-07,417,38,11,1,27.428571428571427,1.2857142857142858,192.0,9.0
SC,2020-04-08,457,40,15,4,31.714285714285715,1.8571428571428572,222.0,13.0
SC,2020-04-09,501,44,17,2,36.285714285714285,2.142857142857143,254.0,15.0
