estado,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving average,daily_deaths_moving average,sum_of_daily_cases_week,sum_of_daily_deaths_week
ES,2020-02-25,0,0,0,0,728.4285714285714,32.857142857142854,5099.0,230.0
ES,2020-02-26,0,0,0,0,601.7142857142857,28.714285714285715,4212.0,201.0
ES,2020-02-27,0,0,0,0,483.2857142857143,24.714285714285715,3383.0,173.0
ES,2020-02-28,0,0,0,0,374.2857142857143,18.571428571428573,2620.0,130.0
ES,2020-02-29,0,0,0,0,260.14285714285717,11.142857142857142,1821.0,78.0
ES,2020-03-01,0,0,0,0,117.14285714285714,4.285714285714286,820.0,30.0
ES,2020-03-02,0,0,0,0,0.0,0.0,0.0,0.0
ES,2020-03-03,0,0,0,0,0.0,0.0,0.0,0.0
ES,2020-03-04,0,0,0,0,0.0,0.0,0.0,0.0
ES,2020-03-05,0,0,0,0,0.0,0.0,0.0,0.0
ES,2020-03-06,0,0,0,0,0.0,0.0,0.0,0.0
ES,2020-03-07,0,0,0,0,0.0,0.0,0.0,0.0
ES,2020-03-08,0,0,0,0,0.0,0.0,0.0,0.0
ES,2020-03-09,0,0,0,0,0.0,0.0,0.0,0.0
ES,2020-03-10,0,0,0,0,0.0,0.0,0.0,0.0
ES,2020-03-11,0,0,0,0,0.0,0.0,0.0,0.0
ES,2020-03-12,0,0,0,0,0.0,0.0,0.0,0.0
ES,2020-03-13,0,0,0,0,0.0,0.0,0.0,0.0
ES,2020-03-14,0,0,0,0,0.0,0.0,0.0,0.0
ES,2020-03-15,0,0,0,0,0.0,0.0,0.0,0.0
ES,2020-03-16,0,0,0,0,0.0,0.0,0.0,0.0
ES,2020-03-17,0,0,0,0,0.0,0.0,0.0,0.0
ES,2020-03-18,4,4,0,0,0.5714285714285714,0.0,4.0,0.0
ES,2020-03-19,5,1,0,0,0.7142857142857143,0.0,5.0,0.0
ES,2020-03-20,6,1,0,0,0.8571428571428571,0.0,6.0,0.0
ES,2020-03-21,13,6,0,0,1.7142857142857142,0.0,12.0,0.0
ES,2020-03-22,13,0,0,0,1.7142857142857142,0.0,12.0,0.0
ES,2020-03-23,14,1,0,0,1.8571428571428572,0.0,13.0,0.0
ES,2020-03-24,16,2,0,0,2.142857142857143,0.0,15.0,0.0
ES,2020-03-25,19,3,0,0,2.0,0.0,14.0,0.0
ES,2020-03-26,19,0,0,0,1.8571428571428572,0.0,13.0,0.0
ES,2020-03-27,23,4,0,0,2.2857142857142856,0.0,16.0,0.0
ES,2020-03-28,53,29,0,0,5.571428571428571,0.0,39.0,0.0
ES,2020-03-29,60,7,0,0,6.571428571428571,0.0,46.0,0.0
ES,2020-03-30,72,12,0,0,8.142857142857142,0.0,57.0,0.0
ES,2020-03-31,84,12,0,0,9.571428571428571,0.0,67.0,0.0
ES,2020-04-01,96,12,0,0,10.857142857142858,0.0,76.0,0.0
ES,2020-04-02,120,24,1,1,14.285714285714286,0.14285714285714285,100.0,1.0
ES,2020-04-03,139,19,4,3,16.428571428571427,0.5714285714285714,115.0,4.0
ES,2020-04-04,153,14,5,1,14.285714285714286,0.7142857142857143,100.0,5.0
ES,2020-04-05,166,13,6,1,15.142857142857142,0.8571428571428571,106.0,6.0
ES,2020-04-06,194,28,6,0,17.428571428571427,0.8571428571428571,122.0,6.0
ES,2020-04-07,209,15,6,0,17.857142857142858,0.8571428571428571,125.0,6.0
ES,2020-04-08,227,18,6,0,18.714285714285715,0.8571428571428571,131.0,6.0
ES,2020-04-09,273,46,6,0,21.857142857142858,0.7142857142857143,153.0,5.0
ES,2020-04-10,300,27,7,1,23.0,0.42857142857142855,161.0,3.0
