estado,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving average,daily_deaths_moving average,sum_of_daily_cases_week,sum_of_daily_deaths_week
AL,2020-02-25,0,0,0,0,155.14285714285714,5.571428571428571,1086.0,39.0
AL,2020-02-26,0,0,0,0,124.71428571428571,4.857142857142857,873.0,34.0
AL,2020-02-27,0,0,0,0,105.28571428571429,3.142857142857143,737.0,22.0
AL,2020-02-28,0,0,0,0,80.57142857142857,2.2857142857142856,564.0,16.0
AL,2020-02-29,0,0,0,0,64.14285714285714,1.8571428571428572,449.0,13.0
AL,2020-03-01,0,0,0,0,39.857142857142854,0.7142857142857143,279.0,5.0
AL,2020-03-02,0,0,0,0,0.0,0.0,0.0,0.0
AL,2020-03-03,0,0,0,0,0.0,0.0,0.0,0.0
AL,2020-03-04,0,0,0,0,0.0,0.0,0.0,0.0
AL,2020-03-05,0,0,0,0,0.0,0.0,0.0,0.0
AL,2020-03-06,0,0,0,0,0.0,0.0,0.0,0.0
AL,2020-03-07,0,0,0,0,0.0,0.0,0.0,0.0
AL,2020-03-08,0,0,0,0,0.0,0.0,0.0,0.0
AL,2020-03-09,0,0,0,0,0.0,0.0,0.0,0.0
AL,2020-03-10,0,0,0,0,0.0,0.0,0.0,0.0
AL,2020-03-11,0,0,0,0,0.0,0.0,0.0,0.0
AL,2020-03-12,0,0,0,0,0.0,0.0,0.0,0.0
AL,2020-03-13,0,0,0,0,0.0,0.0,0.0,0.0
AL,2020-03-14,0,0,0,0,0.0,0.0,0.0,0.0
AL,2020-03-15,0,0,0,0,0.0,0.0,0.0,0.0
AL,2020-03-16,0,0,0,0,0.0,0.0,0.0,0.0
AL,2020-03-17,0,0,0,0,0.0,0.0,0.0,0.0
AL,2020-03-18,0,0,0,0,0.0,0.0,0.0,0.0
AL,2020-03-19,2,1,0,0,0.14285714285714285,0.0,1.0,0.0
AL,2020-03-20,2,0,0,0,0.14285714285714285,0.0,1.0,0.0
AL,2020-03-21,3,1,0,0,0.2857142857142857,0.0,2.0,0.0
AL,2020-03-22,3,0,0,0,0.2857142857142857,0.0,2.0,0.0
AL,2020-03-23,3,0,0,0,0.2857142857142857,0.0,2.0,0.0
AL,2020-03-24,4,1,0,0,0.42857142857142855,0.0,3.0,0.0
AL,2020-03-25,5,1,0,0,0.5714285714285714,0.0,4.0,0.0
AL,2020-03-26,5,0,0,0,0.42857142857142855,0.0,3.0,0.0
AL,2020-03-27,5,0,0,0,0.42857142857142855,0.0,3.0,0.0
AL,2020-03-28,14,8,0,0,1.4285714285714286,0.0,10.0,0.0
AL,2020-03-29,17,3,0,0,1.8571428571428572,0.0,13.0,0.0
AL,2020-03-30,17,0,0,0,1.8571428571428572,0.0,13.0,0.0
AL,2020-03-31,18,1,1,1,1.8571428571428572,0.14285714285714285,13.0,1.0
AL,2020-04-01,18,0,1,0,1.7142857142857142,0.14285714285714285,12.0,1.0
AL,2020-04-02,18,0,1,0,1.7142857142857142,0.14285714285714285,12.0,1.0
AL,2020-04-03,22,4,2,1,2.2857142857142856,0.2857142857142857,16.0,2.0
AL,2020-04-04,23,0,2,0,1.1428571428571428,0.2857142857142857,8.0,2.0
AL,2020-04-05,28,5,2,0,1.4285714285714286,0.2857142857142857,10.0,2.0
AL,2020-04-06,31,3,2,0,1.8571428571428572,0.2857142857142857,13.0,2.0
AL,2020-04-07,32,1,2,0,1.8571428571428572,0.14285714285714285,13.0,1.0
AL,2020-04-08,37,5,2,0,2.5714285714285716,0.14285714285714285,18.0,1.0
AL,2020-04-09,37,0,3,0,2.5714285714285716,0.14285714285714285,18.0,1.0
AL,2020-04-10,45,8,3,0,3.142857142857143,0.0,22.0,0.0
AL,2020-04-11,48,3,3,0,3.5714285714285716,0.0,25.0,0.0
AL,2020-04-12,48,0,3,0,2.857142857142857,0.0,20.0,0.0
AL,2020-04-13,50,2,3,0,2.7142857142857144,0.0,19.0,0.0
AL,2020-04-14,72,22,4,1,5.714285714285714,0.14285714285714285,40.0,1.0
AL,2020-04-15,82,10,5,1,6.428571428571429,0.2857142857142857,45.0,2.0
AL,2020-04-16,89,7,5,0,7.428571428571429,0.2857142857142857,52.0,2.0
AL,2020-04-17,110,21,7,2,9.285714285714286,0.5714285714285714,65.0,4.0
AL,2020-04-18,132,22,8,1,12.0,0.7142857142857143,84.0,5.0
AL,2020-04-19,159,27,15,6,15.857142857142858,1.5714285714285714,111.0,11.0
AL,2020-04-20,171,12,18,3,17.285714285714285,2.0,121.0,14.0
AL,2020-04-21,210,39,19,1,19.714285714285715,2.0,138.0,14.0
AL,2020-04-22,243,33,20,1,23.0,2.0,161.0,14.0
AL,2020-04-23,324,81,22,2,33.57142857142857,2.2857142857142856,235.0,16.0
AL,2020-04-24,413,89,27,5,43.285714285714285,2.7142857142857144,303.0,19.0
AL,2020-04-25,501,88,29,2,52.714285714285715,2.857142857142857,369.0,20.0
AL,2020-04-26,557,55,32,3,56.714285714285715,2.4285714285714284,397.0,17.0
AL,2020-04-27,643,86,34,2,67.28571428571429,2.2857142857142856,471.0,16.0
AL,2020-04-28,777,134,36,2,80.85714285714286,2.4285714285714284,566.0,17.0
AL,2020-04-29,957,180,41,5,101.85714285714286,3.0,713.0,21.0
AL,2020-04-30,1044,87,47,6,102.71428571428571,3.5714285714285716,719.0,25.0
AL,2020-05-01,1226,181,53,6,115.85714285714286,3.7142857142857144,811.0,26.0
AL,2020-05-02,1372,146,58,5,124.14285714285714,4.142857142857143,869.0,29.0
AL,2020-05-03,1441,69,64,6,126.14285714285714,4.571428571428571,883.0,32.0
AL,2020-05-04,1538,97,72,8,127.71428571428571,5.428571428571429,894.0,38.0
AL,2020-05-05,1606,68,80,8,118.28571428571429,6.285714285714286,828.0,44.0
AL,2020-05-06,1703,97,89,9,106.42857142857143,6.857142857142857,745.0,48.0
AL,2020-05-07,1867,164,98,9,117.42857142857143,7.285714285714286,822.0,51.0
AL,2020-05-08,2033,166,108,10,115.28571428571429,7.857142857142857,807.0,55.0
AL,2020-05-09,2172,139,114,6,114.28571428571429,8.0,800.0,56.0
AL,2020-05-10,2258,86,126,12,116.71428571428571,8.857142857142858,817.0,62.0
AL,2020-05-11,2343,85,138,12,115.0,9.428571428571429,805.0,66.0
AL,2020-05-12,2580,237,150,12,139.14285714285714,10.0,974.0,70.0
AL,2020-05-13,2761,181,164,14,151.14285714285714,10.714285714285714,1058.0,75.0
AL,2020-05-14,2972,211,177,13,157.85714285714286,11.285714285714286,1105.0,79.0
AL,2020-05-15,3212,240,187,10,168.42857142857142,11.285714285714286,1179.0,79.0
AL,2020-05-16,3593,381,199,12,203.0,12.142857142857142,1421.0,85.0
AL,2020-05-17,3816,223,210,11,222.57142857142858,12.0,1558.0,84.0
AL,2020-05-18,4031,215,221,11,241.14285714285714,11.857142857142858,1688.0,83.0
AL,2020-05-19,4316,285,231,10,248.0,11.571428571428571,1736.0,81.0
AL,2020-05-20,4437,121,251,20,239.42857142857142,12.428571428571429,1676.0,87.0
AL,2020-05-21,4916,479,262,11,277.7142857142857,12.142857142857142,1944.0,85.0
AL,2020-05-22,5302,386,280,18,298.57142857142856,13.285714285714286,2090.0,93.0
AL,2020-05-23,5630,328,301,21,291.0,14.571428571428571,2037.0,102.0
AL,2020-05-24,6214,584,316,15,342.57142857142856,15.142857142857142,2398.0,106.0
AL,2020-05-25,6682,468,337,21,378.7142857142857,16.571428571428573,2651.0,116.0
AL,2020-05-26,7058,376,354,17,391.7142857142857,17.571428571428573,2742.0,123.0
AL,2020-05-27,7580,522,368,14,449.0,16.714285714285715,3143.0,117.0
AL,2020-05-28,8055,475,385,17,448.42857142857144,17.571428571428573,3139.0,123.0
AL,2020-05-29,8618,563,406,21,473.7142857142857,18.0,3316.0,126.0
AL,2020-05-30,9223,605,424,18,513.2857142857143,17.571428571428573,3593.0,123.0
AL,2020-05-31,10288,1065,443,19,582.0,18.142857142857142,4074.0,127.0
AL,2020-06-01,10837,549,461,18,593.5714285714286,17.714285714285715,4155.0,124.0
AL,2020-06-02,11559,722,482,21,643.0,18.285714285714285,4501.0,128.0
AL,2020-06-03,12407,848,506,24,689.5714285714286,19.714285714285715,4827.0,138.0
AL,2020-06-04,13097,690,531,25,720.2857142857143,20.857142857142858,5042.0,146.0
AL,2020-06-05,13937,840,557,26,759.8571428571429,21.571428571428573,5319.0,151.0
AL,2020-06-06,14818,881,582,25,799.2857142857143,22.571428571428573,5595.0,158.0
AL,2020-06-07,15706,888,601,19,774.0,22.571428571428573,5418.0,158.0
AL,2020-06-08,15706,0,601,0,695.5714285714286,20.0,4869.0,140.0
AL,2020-06-09,17193,1487,640,39,804.8571428571429,22.571428571428573,5634.0,158.0
AL,2020-06-10,18176,983,660,20,824.1428571428571,22.0,5769.0,154.0
AL,2020-06-11,19200,1024,681,21,871.8571428571429,21.428571428571427,6103.0,150.0
AL,2020-06-12,20031,831,701,20,870.5714285714286,20.571428571428573,6094.0,144.0
AL,2020-06-13,20887,856,723,22,867.0,20.142857142857142,6069.0,141.0
AL,2020-06-14,22199,1312,744,21,927.5714285714286,20.428571428571427,6493.0,143.0
AL,2020-06-15,22962,763,768,24,1036.5714285714287,23.857142857142858,7256.0,167.0
AL,2020-06-16,23632,670,793,25,919.8571428571429,21.857142857142858,6439.0,153.0
AL,2020-06-17,24867,1235,811,18,955.8571428571429,21.571428571428573,6691.0,151.0
AL,2020-06-18,25633,766,831,20,919.0,21.428571428571427,6433.0,150.0
AL,2020-06-19,26906,1273,848,17,982.1428571428571,21.0,6875.0,147.0
AL,2020-06-20,27698,792,866,18,973.0,20.428571428571427,6811.0,143.0
AL,2020-06-21,28657,959,884,18,922.5714285714286,20.0,6458.0,140.0
AL,2020-06-22,29395,738,903,19,919.0,19.285714285714285,6433.0,135.0
AL,2020-06-23,30248,853,920,17,945.1428571428571,18.142857142857142,6616.0,127.0
AL,2020-06-24,31230,982,938,18,909.0,18.142857142857142,6363.0,127.0
AL,2020-06-25,32065,835,958,20,918.8571428571429,18.142857142857142,6432.0,127.0
AL,2020-06-26,32864,799,975,17,851.1428571428571,18.142857142857142,5958.0,127.0
AL,2020-06-27,33521,657,993,18,831.8571428571429,18.142857142857142,5823.0,127.0
AL,2020-06-28,34312,791,1012,19,807.8571428571429,18.285714285714285,5655.0,128.0
AL,2020-06-29,35117,805,1032,20,817.4285714285714,18.428571428571427,5722.0,129.0
