estado,data,cases,daily cases,deaths,daily deaths
AC,2020-02-25,0,0,0,0
AC,2020-02-26,0,0,0,0
AC,2020-02-27,0,0,0,0
AC,2020-02-28,0,0,0,0
AC,2020-02-29,0,0,0,0
AC,2020-03-01,0,0,0,0
AC,2020-03-02,0,0,0,0
AC,2020-03-03,0,0,0,0
AC,2020-03-04,0,0,0,0
AC,2020-03-05,0,0,0,0
AC,2020-03-06,0,0,0,0
AC,2020-03-07,0,0,0,0
AC,2020-03-08,0,0,0,0
AC,2020-03-09,0,0,0,0
AC,2020-03-10,0,0,0,0
AC,2020-03-11,0,0,0,0
AC,2020-03-12,0,0,0,0
AC,2020-03-13,0,0,0,0
AC,2020-03-14,0,0,0,0
AC,2020-03-15,0,0,0,0
AC,2020-03-16,0,0,0,0
AC,2020-03-17,0,0,0,0
AC,2020-03-18,0,0,0,0
AC,2020-03-19,1,1,0,0
AC,2020-03-20,3,2,0,0
AC,2020-03-21,4,1,0,0
AC,2020-03-22,5,1,0,0
AC,2020-03-23,5,0,0,0
AC,2020-03-24,8,3,0,0
AC,2020-03-25,11,3,0,0
AC,2020-03-26,12,0,0,0
AC,2020-03-27,12,0,0,0
AC,2020-03-28,25,12,0,0
AC,2020-03-29,34,9,0,0
AC,2020-03-30,42,8,0,0
AC,2020-03-31,42,0,0,0
AC,2020-04-01,43,1,0,0
AC,2020-04-02,43,0,0,0
AC,2020-04-03,46,3,0,0
AC,2020-04-04,46,0,0,0
AC,2020-04-05,48,2,0,0
AC,2020-04-06,50,2,0,0
AC,2020-04-07,50,0,1,1
AC,2020-04-08,54,4,2,1
AC,2020-04-09,62,8,2,0
AC,2020-04-10,70,8,2,0
AC,2020-04-11,72,2,2,0
AC,2020-04-12,77,5,2,0
AC,2020-04-13,90,13,3,1
AC,2020-04-14,99,9,3,0
AC,2020-04-15,101,2,3,0
AC,2020-04-16,110,9,5,2
AC,2020-04-17,135,25,5,0
AC,2020-04-18,142,7,5,0
AC,2020-04-19,163,21,6,1
AC,2020-04-20,176,13,8,2
AC,2020-04-21,195,19,8,0
AC,2020-04-22,214,19,8,0
AC,2020-04-23,227,13,10,2
AC,2020-04-24,234,7,11,1
AC,2020-04-25,258,24,11,0
AC,2020-04-26,279,21,11,0
AC,2020-04-27,290,11,14,3
AC,2020-04-28,311,21,16,2
AC,2020-04-29,354,43,17,1
AC,2020-04-30,404,50,19,2
AC,2020-05-01,486,82,19,0
AC,2020-05-02,553,67,21,2
AC,2020-05-03,657,104,24,2
AC,2020-05-04,733,76,28,4
AC,2020-05-05,817,84,29,1
AC,2020-05-06,943,126,33,4
AC,2020-05-07,1014,71,36,3
AC,2020-05-08,1177,163,38,2
AC,2020-05-09,1335,158,39,1
AC,2020-05-10,1447,112,41,2
AC,2020-05-11,1460,13,45,4
AC,2020-05-12,1590,130,51,6
AC,2020-05-13,1694,104,52,1
AC,2020-05-14,1740,46,55,3
AC,2020-05-15,1785,45,57,2
AC,2020-05-16,1867,82,59,2
AC,2020-05-17,1997,130,60,1
AC,2020-05-18,2234,237,67,7
AC,2020-05-19,2482,248,72,5
AC,2020-05-20,2817,335,76,4
AC,2020-05-21,3103,286,78,2
AC,2020-05-22,3343,240,80,2
AC,2020-05-23,3867,524,87,7
AC,2020-05-24,4160,293,92,5
AC,2020-05-25,4501,341,97,5
AC,2020-05-26,4781,280,105,8
AC,2020-05-27,5251,470,113,8
AC,2020-05-28,5600,349,122,9
AC,2020-05-29,5841,241,135,13
AC,2020-05-30,6072,231,142,7
AC,2020-05-31,6219,147,148,6
AC,2020-06-01,6326,107,161,13
AC,2020-06-02,6465,139,165,4
AC,2020-06-03,6679,214,171,6
AC,2020-06-04,7021,342,181,10
AC,2020-06-05,7284,263,190,9
AC,2020-06-06,7525,241,201,11
AC,2020-06-07,7983,458,207,6
AC,2020-06-08,8128,145,211,4
AC,2020-06-09,8457,329,223,12
AC,2020-06-10,8746,289,237,14
AC,2020-06-11,9091,345,245,8
AC,2020-06-12,9295,204,254,9
AC,2020-06-13,9534,239,256,2
AC,2020-06-14,9642,108,259,3
AC,2020-06-15,9771,129,265,6
AC,2020-06-16,10003,232,271,6
AC,2020-06-17,10339,336,281,10
AC,2020-06-18,10664,325,287,6
AC,2020-06-19,10987,323,292,5
AC,2020-06-20,11263,276,297,5
AC,2020-06-21,11381,118,300,3
AC,2020-06-22,11539,158,305,5
AC,2020-06-23,11810,271,321,16
AC,2020-06-24,12022,212,326,5
AC,2020-06-25,12304,282,335,9
AC,2020-06-26,12644,340,343,8
AC,2020-06-27,12913,269,351,8
AC,2020-06-28,13058,145,353,2
AC,2020-06-29,13146,88,361,8
AC,2020-06-30,13253,107,365,4
